"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 01:51:26 GMT 2024","Thu Sep 12 01:51:26 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SUBTRACTION-TEST.01",""
"passed","Thu Sep 12 02:30:06 GMT 2024","Thu Sep 12 02:30:06 GMT 2024","2","","FORMULA","","FORMULA","","DEDUCTIONFORMULATEST.05",""
"passed","Thu Sep 12 01:57:19 GMT 2024","Thu Sep 12 01:57:19 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TEST-IF-CLOSED.04",""
"passed","Thu Sep 12 03:00:34 GMT 2024","Thu Sep 12 03:00:34 GMT 2024","2","","DIRECT-COMP","","DIRECT-COMP","","00A-LANG-COMPILED-CASE.12",""
"failed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:50:27 GMT 2024","40000","","WHOLE-TESTS","","WHOLE-TESTS","","python_from_metta.requests",""
"failed","Thu Sep 12 02:32:28 GMT 2024","Thu Sep 12 02:32:28 GMT 2024","20","","HOL","","HOL","","NATSTANDALONETEST.11",""
"passed","Thu Sep 12 02:22:54 GMT 2024","Thu Sep 12 02:22:54 GMT 2024","3","","AI-SERVICE","","AI-SERVICE","","AI-SERVICE-COMPOSITION-SANITY.04",""
"passed","Thu Sep 12 02:08:11 GMT 2024","Thu Sep 12 02:08:11 GMT 2024","2","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.41",""
"passed","Thu Sep 12 03:01:33 GMT 2024","Thu Sep 12 03:01:33 GMT 2024","3","","TRANSPILER","","TRANSPILER","","IDENTITY.01",""
"passed","Thu Sep 12 02:06:51 GMT 2024","Thu Sep 12 02:06:51 GMT 2024","5","","SPACES","","SPACES","","ADD-REMOVE-MATCH-INTEGER.30",""
"passed","Thu Sep 12 02:06:51 GMT 2024","Thu Sep 12 02:06:51 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-FLOAT.04",""
"failed","Thu Sep 12 02:29:29 GMT 2024","Thu Sep 12 02:29:29 GMT 2024","41","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.35",""
"passed","Thu Sep 12 02:33:34 GMT 2024","Thu Sep 12 02:33:34 GMT 2024","2","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-XP.02",""
"failed","Thu Sep 12 01:59:59 GMT 2024","Thu Sep 12 01:59:59 GMT 2024","954","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS2.03",""
"passed","Thu Sep 12 02:06:51 GMT 2024","Thu Sep 12 02:06:51 GMT 2024","3","","SPACES","","SPACES","","ADD-REMOVE-MATCH-SS-SYMBOLS.15",""
"passed","Thu Sep 12 02:35:35 GMT 2024","Thu Sep 12 02:35:35 GMT 2024","2","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IFC-XP.04",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","dependent-types.MinerDTLTest",""
"passed","Thu Sep 12 02:22:43 GMT 2024","Thu Sep 12 02:22:43 GMT 2024","126","","TRAVERSER","","TRAVERSER","","BASIC.01",""
"passed","Thu Sep 12 02:29:44 GMT 2024","Thu Sep 12 02:29:44 GMT 2024","2","","COMMON","","COMMON","","LISTTEST.13",""
"failed","Thu Sep 12 02:08:11 GMT 2024","Thu Sep 12 02:08:11 GMT 2024","102","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.58",""
"passed","Thu Sep 12 02:08:11 GMT 2024","Thu Sep 12 02:08:11 GMT 2024","2","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.29",""
"passed","Thu Sep 12 02:08:21 GMT 2024","Thu Sep 12 02:08:21 GMT 2024","1","","SICP-BOOK","","SICP-BOOK","","CHAPTER-1-3.02",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:52 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","edges-to-edges.nte",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","introspect.show-space-self",""
"passed","Thu Sep 12 02:06:51 GMT 2024","Thu Sep 12 02:06:51 GMT 2024","2","","SPACES","","SPACES","","ADD-REMOVE-MATCH-MIX-FLOAT-INTEGER.24",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B0-CHAINING-PRELIM.01",""
"passed","Thu Sep 12 02:29:29 GMT 2024","Thu Sep 12 02:29:29 GMT 2024","2","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.05",""
"failed","Thu Sep 12 03:10:28 GMT 2024","Thu Sep 12 03:10:28 GMT 2024","14","","BASIC","","BASIC","","TEST-INFER-FUNCTION-APPLICATION-TYPE.12",""
"passed","Thu Sep 12 01:59:59 GMT 2024","Thu Sep 12 01:59:59 GMT 2024","128","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS0.05",""
"passed","Thu Sep 12 02:25:28 GMT 2024","Thu Sep 12 02:25:28 GMT 2024","2","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.12",""
"passed","Thu Sep 12 02:29:35 GMT 2024","Thu Sep 12 02:29:35 GMT 2024","2","","BACKWARD-CHAINING","","BACKWARD-CHAINING","","BC-XP.28",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:52 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","quick.f1_imports",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:50:15 GMT 2024","28000","","WHOLE-TESTS","","WHOLE-TESTS","","language_models.training_bi",""
"failed","Thu Sep 12 02:40:10 GMT 2024","Thu Sep 12 02:40:10 GMT 2024","234","","EXPERIMENTS","","EXPERIMENTS","","SELF-CONTAINED-SYNTHESIZE.02",""
"failed","Thu Sep 12 03:16:45 GMT 2024","Thu Sep 12 03:16:45 GMT 2024","19","","COMPARISONS","","COMPARISONS","","INF-CTL-MONTH-XP-SHORT-1.01",""
"passed","Thu Sep 12 01:55:19 GMT 2024","Thu Sep 12 01:55:19 GMT 2024","2","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SEQUENTIAL-NESTED.09",""
"passed","Thu Sep 12 02:35:54 GMT 2024","Thu Sep 12 02:35:54 GMT 2024","43","","MATCH","","MATCH","","DEDUCTIONIMPLICATIONDIRECTINTRODUCTIONMATCHTEST.01",""
"failed","Thu Sep 12 02:25:48 GMT 2024","Thu Sep 12 02:25:48 GMT 2024","82","","CHECK-TYPES","","CHECK-TYPES","","E2-STATES.07",""
"passed","Thu Sep 12 01:55:19 GMT 2024","Thu Sep 12 01:55:19 GMT 2024","375","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","TESTS0.06",""
"passed","Thu Sep 12 02:08:11 GMT 2024","Thu Sep 12 02:08:11 GMT 2024","2","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.24",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","red-black-lambda.red-black",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","hol.ListTest",""
"passed","Thu Sep 12 02:25:28 GMT 2024","Thu Sep 12 02:25:28 GMT 2024","2","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.48",""
"passed","Thu Sep 12 03:10:28 GMT 2024","Thu Sep 12 03:10:28 GMT 2024","1","","BASIC","","BASIC","","HYPERPOSING-UNSHARED.05",""
"passed","Thu Sep 12 03:22:52 GMT 2024","Thu Sep 12 03:22:53 GMT 2024","1134","","LANGUAGE-MODELS","","LANGUAGE-MODELS","","PLLM-PENNTREE.02",""
"passed","Thu Sep 12 02:08:11 GMT 2024","Thu Sep 12 02:08:11 GMT 2024","2","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.55",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D3-DEPTYPES.01",""
"passed","Thu Sep 12 01:59:31 GMT 2024","Thu Sep 12 01:59:31 GMT 2024","3","","QUICK","","QUICK","","D1-GADT.03",""
"passed","Thu Sep 12 02:22:02 GMT 2024","Thu Sep 12 02:22:02 GMT 2024","3","","STRIPS-TO-METTA-IMPROVED","","STRIPS-TO-METTA-IMPROVED","","QUERIES.16",""
"passed","Thu Sep 12 02:32:28 GMT 2024","Thu Sep 12 02:32:28 GMT 2024","1","","HOL","","HOL","","NATPARITYTEST.03",""
"passed","Thu Sep 12 02:22:54 GMT 2024","Thu Sep 12 02:22:54 GMT 2024","2","","AI-SERVICE","","AI-SERVICE","","AI-SERVICE-COMPOSITION-SANITY.05",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:52 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.nalifier",""
"passed","Thu Sep 12 01:51:26 GMT 2024","Thu Sep 12 01:51:26 GMT 2024","3","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.18",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B2-BACKCHAIN.04",""
"passed","Thu Sep 12 02:08:21 GMT 2024","Thu Sep 12 02:08:21 GMT 2024","2","","SICP-BOOK","","SICP-BOOK","","CHAPTER-2-2.12",""
"passed","Thu Sep 12 02:07:34 GMT 2024","Thu Sep 12 02:07:34 GMT 2024","2","","STD","","STD","","HIGHER-ORDER-FUNCS.03",""
"passed","Thu Sep 12 01:51:26 GMT 2024","Thu Sep 12 01:51:26 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.07",""
"passed","Thu Sep 12 02:33:34 GMT 2024","Thu Sep 12 02:33:34 GMT 2024","364","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-XP.07",""
"passed","Thu Sep 12 03:10:28 GMT 2024","Thu Sep 12 03:10:28 GMT 2024","2","","BASIC","","BASIC","","HYPERPOSING.01",""
"passed","Thu Sep 12 02:40:10 GMT 2024","Thu Sep 12 02:40:10 GMT 2024","3","","EXPERIMENTS","","EXPERIMENTS","","UNIFY-VIA-LET.01",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","14","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","C3-PLN-STV.05",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B1-EQUAL-CHAIN.01",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","ai-service.ai-service-composition-sanity",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.08",""
"passed","Thu Sep 12 01:59:31 GMT 2024","Thu Sep 12 01:59:31 GMT 2024","2","","QUICK","","QUICK","","D4-TYPE-PROP.09",""
"failed","Thu Sep 12 02:17:41 GMT 2024","Thu Sep 12 02:17:41 GMT 2024","489","","PROB-DEP-TYPES","","PROB-DEP-TYPES","","PROB-DEP-TYPES.10",""
"passed","Thu Sep 12 02:03:51 GMT 2024","Thu Sep 12 02:03:51 GMT 2024","3","","CHAINING","","CHAINING","","TYPES-PRELIM.01",""
"passed","Thu Sep 12 02:28:23 GMT 2024","Thu Sep 12 02:28:23 GMT 2024","3","","DEPENDENT-TYPES","","DEPENDENT-TYPES","","IMPLICATIONDIRECTINTRODUCTIONDTLTEST.08",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","query.gene-query",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","std.grounded_basic",""
"passed","Thu Sep 12 02:32:28 GMT 2024","Thu Sep 12 02:32:28 GMT 2024","3","","HOL","","HOL","","NATPARITYTEST.01",""
"passed","Thu Sep 12 02:29:44 GMT 2024","Thu Sep 12 02:29:44 GMT 2024","2","","COMMON","","COMMON","","ORDEREDSETTEST.02",""
"passed","Thu Sep 12 02:38:17 GMT 2024","Thu Sep 12 02:38:17 GMT 2024","2","","POLYWARD-CHAINING","","POLYWARD-CHAINING","","PC-XP.02",""
"passed","Thu Sep 12 01:55:19 GMT 2024","Thu Sep 12 01:55:19 GMT 2024","4","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SEQUENTIAL-NESTED.01",""
"passed","Thu Sep 12 01:49:43 GMT 2024","Thu Sep 12 01:49:43 GMT 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","F1-MODULEA.03",""
"failed","Thu Sep 12 02:06:51 GMT 2024","Thu Sep 12 02:06:51 GMT 2024","101","","SPACES","","SPACES","","ADD-REMOVE-MATCH-MIX-FLOAT-INTEGER.27",""
"passed","Thu Sep 12 03:01:33 GMT 2024","Thu Sep 12 03:01:33 GMT 2024","2","","TRANSPILER","","TRANSPILER","","LET-SUPERPOSE-LIST.01",""
"passed","Thu Sep 12 02:52:44 GMT 2024","Thu Sep 12 02:52:44 GMT 2024","2","","NEW","","NEW","","TESTS0.04",""
"failed","Thu Sep 12 02:28:23 GMT 2024","Thu Sep 12 02:28:23 GMT 2024","45","","DEPENDENT-TYPES","","DEPENDENT-TYPES","","IMPLICATIONDIRECTINTRODUCTIONDTLTEST.13",""
"passed","Thu Sep 12 01:57:19 GMT 2024","Thu Sep 12 01:57:19 GMT 2024","3","","ANTI-REGRESSION","","ANTI-REGRESSION","","BC-COMP.01",""
"passed","Thu Sep 12 02:35:35 GMT 2024","Thu Sep 12 02:35:35 GMT 2024","1","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IBC-XP.19",""
"passed","Thu Sep 12 02:17:41 GMT 2024","Thu Sep 12 02:17:48 GMT 2024","7271","","PROB-DEP-TYPES","","PROB-DEP-TYPES","","INF-ORDER-PROBS.04",""
"passed","Thu Sep 12 02:29:35 GMT 2024","Thu Sep 12 02:29:35 GMT 2024","2","","BACKWARD-CHAINING","","BACKWARD-CHAINING","","BC-XP.20",""
"passed","Thu Sep 12 02:33:34 GMT 2024","Thu Sep 12 02:33:34 GMT 2024","2","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-MONTH-BC-CONT-XP.13",""
"passed","Thu Sep 12 03:10:28 GMT 2024","Thu Sep 12 03:10:28 GMT 2024","3","","BASIC","","BASIC","","CML-UNSHARED.07",""
"passed","Thu Sep 12 01:55:19 GMT 2024","Thu Sep 12 01:55:19 GMT 2024","134","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","TESTS0.01",""
"failed","Thu Sep 12 02:32:28 GMT 2024","Thu Sep 12 02:32:28 GMT 2024","37","","HOL","","HOL","","NATDTLTEST.04",""
"passed","Thu Sep 12 01:59:59 GMT 2024","Thu Sep 12 01:59:59 GMT 2024","3","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS0-PREV.02",""
"failed","Thu Sep 12 02:33:34 GMT 2024","Thu Sep 12 02:33:34 GMT 2024","67","","INFERENCE-CONTROL","","INFERENCE-CONTROL","","INF-CTL-MONTH-XP.12",""
"passed","Thu Sep 12 02:07:34 GMT 2024","Thu Sep 12 02:07:34 GMT 2024","110","","STD","","STD","","SYMBOLS.01",""
"failed","Thu Sep 12 02:28:23 GMT 2024","Thu Sep 12 02:28:23 GMT 2024","42","","DEPENDENT-TYPES","","DEPENDENT-TYPES","","IMPLICATIONDIRECTINTRODUCTIONDTLTEST.11",""
"passed","Thu Sep 12 01:59:59 GMT 2024","Thu Sep 12 01:59:59 GMT 2024","3","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS3.03",""
"passed","Thu Sep 12 02:06:51 GMT 2024","Thu Sep 12 02:06:51 GMT 2024","3","","SPACES","","SPACES","","ADD-REMOVE-MATCH-STRINGS.01",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:52 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","common.InTest",""
"passed","Thu Sep 12 02:25:12 GMT 2024","Thu Sep 12 02:25:12 GMT 2024","2","","PLN","","PLN","","CURRIED-CHAINER.01",""
"failed","Thu Sep 12 02:03:51 GMT 2024","Thu Sep 12 02:03:51 GMT 2024","244","","CHAINING","","CHAINING","","BACKWARD-CHAIN.01",""
"failed","Thu Sep 12 02:22:43 GMT 2024","Thu Sep 12 02:22:43 GMT 2024","123","","TRAVERSER","","TRAVERSER","","CREATION.01",""
"passed","Thu Sep 12 02:25:28 GMT 2024","Thu Sep 12 02:25:28 GMT 2024","2","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","B5-TYPES-PRELIM.05",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B5-TYPES-PRELIM.16",""
"passed","Thu Sep 12 03:10:28 GMT 2024","Thu Sep 12 03:10:28 GMT 2024","1","","BASIC","","BASIC","","HYPERPOSING-SHARED.06",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:52 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-experimental_scripts.e3_match_states",""
"passed","Thu Sep 12 02:40:10 GMT 2024","Thu Sep 12 02:40:10 GMT 2024","3","","EXPERIMENTS","","EXPERIMENTS","","NON-DETERMINISM.01",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:52 GMT 2024","5000","","WHOLE-TESTS","","WHOLE-TESTS","","introspect.show-type",""
"passed","Thu Sep 12 01:55:19 GMT 2024","Thu Sep 12 01:55:19 GMT 2024","3","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","TYPES2.04",""
"passed","Thu Sep 12 01:59:31 GMT 2024","Thu Sep 12 01:59:31 GMT 2024","3","","QUICK","","QUICK","","C1-GROUNDED-BASIC.07",""
"failed","Thu Sep 12 02:08:11 GMT 2024","Thu Sep 12 02:08:11 GMT 2024","53","","STDLIB-METTALOG","","STDLIB-METTALOG","","STDLIB-METTALOG-TEST-PT2.12",""
"passed","Thu Sep 12 01:57:19 GMT 2024","Thu Sep 12 01:57:19 GMT 2024","2","","ANTI-REGRESSION","","ANTI-REGRESSION","","TEST-IF-CLOSED.05",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.19",""
"passed","Thu Sep 12 01:51:26 GMT 2024","Thu Sep 12 01:51:26 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.02",""
"passed","Thu Sep 12 02:29:44 GMT 2024","Thu Sep 12 02:29:44 GMT 2024","2","","COMMON","","COMMON","","ORDEREDSETTEST.03",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.17",""
"passed","Thu Sep 12 02:03:51 GMT 2024","Thu Sep 12 02:03:51 GMT 2024","1","","CHAINING","","CHAINING","","BC-XP.02",""
"failed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","102","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","C1-GROUNDED-BASIC.14",""
"passed","Thu Sep 12 01:51:26 GMT 2024","Thu Sep 12 01:51:26 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","XOR-TEST.07",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","basic.state_types",""
"passed","Thu Sep 12 01:49:47 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","4000","","WHOLE-TESTS","","WHOLE-TESTS","","entail.ImplicationDirectIntroductionEntailTest",""
"passed","Thu Sep 12 03:02:02 GMT 2024","Thu Sep 12 03:02:02 GMT 2024","2","","WALK-THRU","","WALK-THRU","","BCHAIN.03",""
"passed","Thu Sep 12 02:29:35 GMT 2024","Thu Sep 12 02:29:35 GMT 2024","2","","BACKWARD-CHAINING","","BACKWARD-CHAINING","","BC-XP.15",""
"passed","Thu Sep 12 02:22:02 GMT 2024","Thu Sep 12 02:22:02 GMT 2024","3","","STRIPS-TO-METTA-IMPROVED","","STRIPS-TO-METTA-IMPROVED","","QUERIES.14",""
"passed","Thu Sep 12 02:25:28 GMT 2024","Thu Sep 12 02:25:28 GMT 2024","2","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.46",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","A1-SYMBOLS.02",""
"passed","Thu Sep 12 01:55:19 GMT 2024","Thu Sep 12 01:55:19 GMT 2024","2","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SEQUENTIAL-NESTED.12",""
"failed","Thu Sep 12 02:07:34 GMT 2024","Thu Sep 12 02:07:34 GMT 2024","9","","STD","","STD","","HIGHER-ORDER-FUNCS.02",""
"passed","Thu Sep 12 02:07:34 GMT 2024","Thu Sep 12 02:07:34 GMT 2024","2","","STD","","STD","","HIGHER-ORDER-FUNCS.05",""
"passed","Thu Sep 12 02:35:35 GMT 2024","Thu Sep 12 02:35:35 GMT 2024","2","","ITERATIVE-CHAINING","","ITERATIVE-CHAINING","","IBC-XP.09",""
"passed","Thu Sep 12 01:51:26 GMT 2024","Thu Sep 12 01:51:26 GMT 2024","3","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SPACE-INTERSECTION-TESTS.01",""
"passed","Thu Sep 12 03:02:02 GMT 2024","Thu Sep 12 03:02:02 GMT 2024","2","","WALK-THRU","","WALK-THRU","","BC-COMP.02",""
"passed","Thu Sep 12 01:51:26 GMT 2024","Thu Sep 12 01:51:26 GMT 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SUBTRACTION-TEST.07",""
"passed","Thu Sep 12 01:49:51 GMT 2024","Thu Sep 12 01:49:51 GMT 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","F1-IMPORTS.11",""
"passed","Thu Sep 12 02:29:44 GMT 2024","Thu Sep 12 02:29:44 GMT 2024","3","","COMMON","","COMMON","","NUMTEST.01",""
